UF;Codigo da Infracao;Quantidade
MINAS GERAIS;5150;5
PARAIBA;5150;1
PARANA;5150;4
PERNAMBUCO;5150;3
RIO GRANDE DO NORTE;5150;8
RIO GRANDE DO SUL;5150;4
SANTA CATARINA;5150;8
SAO PAULO;5150;11
SERGIPE;5150;1
ACRE;5169;42
ALAGOAS;5169;16
AMAZONAS;5169;158
AMAPA;5169;41
BAHIA;5169;133
CEARA;5169;29
DISTRITO FEDERAL;5169;221
ESPIRITO SANTO;5169;47
GOIAS;5169;228
MARANHAO;5169;58
MATO GROSSO;5169;75
MATO GROSSO DO SUL;5169;93
MINAS GERAIS;5169;940
PARA;5169;49
PARAIBA;5169;51
PARANA;5169;405
PERNAMBUCO;5169;118
PIAUI;5169;14
RIO DE JANEIRO;5169;70
RIO GRANDE DO NORTE;5169;39
RIO GRANDE DO SUL;5169;41
RONDONIA;5169;352
RORAIMA;5169;47
SANTA CATARINA;5169;229
SAO PAULO;5169;1649
SERGIPE;5169;17
TOCANTINS;5169;11
ACRE;5177;3
AMAZONAS;5177;1
BAHIA;5177;2
DISTRITO FEDERAL;5177;1
ESPIRITO SANTO;5177;1
GOIAS;5177;2
MATO GROSSO DO SUL;5177;2
MINAS GERAIS;5177;11
PARANA;5177;28
PERNAMBUCO;5177;1
RONDONIA;5177;4
SANTA CATARINA;5177;7
SAO PAULO;5177;42
ACRE;5185;96
ALAGOAS;5185;399
AMAZONAS;5185;704
AMAPA;5185;488
BAHIA;5185;2912
CEARA;5185;846
DISTRITO FEDERAL;5185;2811
ESPIRITO SANTO;5185;451
GOIAS;5185;5282
MARANHAO;5185;3997
MATO GROSSO;5185;1552
MATO GROSSO DO SUL;5185;1040
MINAS GERAIS;5185;9270
PARA;5185;1805
PARAIBA;5185;986
PARANA;5185;6113
PERNAMBUCO;5185;2261
PIAUI;5185;718
RIO DE JANEIRO;5185;2055
RIO GRANDE DO NORTE;5185;631
RIO GRANDE DO SUL;5185;1571
RONDONIA;5185;1326
RORAIMA;5185;725
SANTA CATARINA;5185;6932
SAO PAULO;5185;46726
SERGIPE;5185;162
TOCANTINS;5185;528
ACRE;5193;12
ALAGOAS;5193;61
AMAZONAS;5193;92
AMAPA;5193;28
BAHIA;5193;202
CEARA;5193;102
DISTRITO FEDERAL;5193;123
ESPIRITO SANTO;5193;26
GOIAS;5193;276
MARANHAO;5193;215
MATO GROSSO;5193;107
MATO GROSSO DO SUL;5193;79
MINAS GERAIS;5193;593
PARA;5193;138
PARAIBA;5193;68
PARANA;5193;646
PERNAMBUCO;5193;204
PIAUI;5193;32
RIO DE JANEIRO;5193;132
RIO GRANDE DO NORTE;5193;30
RIO GRANDE DO SUL;5193;84
RONDONIA;5193;49
RORAIMA;5193;31
SANTA CATARINA;5193;360
SAO PAULO;5193;2190
SERGIPE;5193;19
TOCANTINS;5193;31
ACRE;5207;31
ALAGOAS;5207;55
AMAZONAS;5207;12
AMAPA;5207;8
BAHIA;5207;218
CEARA;5207;300
DISTRITO FEDERAL;5207;492
ESPIRITO SANTO;5207;54
GOIAS;5207;917
MARANHAO;5207;169
MATO GROSSO;5207;150
MATO GROSSO DO SUL;5207;132
MINAS GERAIS;5207;1382
PARA;5207;95
PARAIBA;5207;95
PARANA;5207;499
PERNAMBUCO;5207;1502
PIAUI;5207;25
RIO DE JANEIRO;5207;122
RIO GRANDE DO NORTE;5207;107
RIO GRANDE DO SUL;5207;69
RONDONIA;5207;97
RORAIMA;5207;89
SANTA CATARINA;5207;830
SAO PAULO;5207;11703
SERGIPE;5207;49
TOCANTINS;5207;18
ACRE;5215;15
ALAGOAS;5215;10
AMAZONAS;5215;22
AMAPA;5215;3
BAHIA;5215;61
CEARA;5215;46
DISTRITO FEDERAL;5215;7
ESPIRITO SANTO;5215;11
GOIAS;5215;39
MARANHAO;5215;77
MATO GROSSO;5215;6
MATO GROSSO DO SUL;5215;11
MINAS GERAIS;5215;320
PARA;5215;85
PARAIBA;5215;17
PARANA;5215;45
PERNAMBUCO;5215;43
PIAUI;5215;3
RIO DE JANEIRO;5215;126
RIO GRANDE DO NORTE;5215;9
RIO GRANDE DO SUL;5215;7
RONDONIA;5215;25
RORAIMA;5215;6
SANTA CATARINA;5215;50
SAO PAULO;5215;1206
SERGIPE;5215;3
TOCANTINS;5215;4
BAHIA;5223;2
CEARA;5223;1
DISTRITO FEDERAL;5223;1
GOIAS;5223;5
MARANHAO;5223;7
MATO GROSSO DO SUL;5223;1
MINAS GERAIS;5223;8
PARA;5223;3
PARANA;5223;4
PERNAMBUCO;5223;1
RONDONIA;5223;2
SANTA CATARINA;5223;2
SAO PAULO;5223;26
ACRE;5231;2
ALAGOAS;5231;4
AMAZONAS;5231;3
BAHIA;5231;6
CEARA;5231;5
DISTRITO FEDERAL;5231;23
ESPIRITO SANTO;5231;2
GOIAS;5231;10
MARANHAO;5231;5
MATO GROSSO;5231;3
MATO GROSSO DO SUL;5231;3
MINAS GERAIS;5231;44
PARA;5231;2
PARAIBA;5231;2
PARANA;5231;57
PERNAMBUCO;5231;20
PIAUI;5231;5
RIO DE JANEIRO;5231;10
RIO GRANDE DO SUL;5231;6
RONDONIA;5231;1
RORAIMA;5231;1
SANTA CATARINA;5231;47
SAO PAULO;5231;434
SERGIPE;5231;1
TOCANTINS;5231;2
CEARA;5240;2
MARANHAO;5240;1
MATO GROSSO;5240;2
MATO GROSSO DO SUL;5240;1
PARA;5240;29
PARAIBA;5240;1
PARANA;5240;1
PERNAMBUCO;5240;1
RIO DE JANEIRO;5240;8
RORAIMA;5240;1
SANTA CATARINA;5240;5
SAO PAULO;5240;42
ACRE;5258;1
BAHIA;5258;4
DISTRITO FEDERAL;5258;3
ESPIRITO SANTO;5258;1
GOIAS;5258;7
MARANHAO;5258;4
MATO GROSSO;5258;3
MINAS GERAIS;5258;36
PARA;5258;3
PARANA;5258;1
RIO DE JANEIRO;5258;7
RIO GRANDE DO NORTE;5258;1
RORAIMA;5258;1
SANTA CATARINA;5258;11
SAO PAULO;5258;133
TOCANTINS;5258;1
ACRE;5266;1
BAHIA;5266;2
CEARA;5266;1
GOIAS;5266;2
MARANHAO;5266;1
MATO GROSSO;5266;1
MATO GROSSO DO SUL;5266;1
MINAS GERAIS;5266;10
PARANA;5266;3
PERNAMBUCO;5266;1
RIO DE JANEIRO;5266;3
RONDONIA;5266;1
RORAIMA;5266;1
SANTA CATARINA;5266;7
SAO PAULO;5266;68
ACRE;5274;11
ALAGOAS;5274;18
AMAZONAS;5274;10
AMAPA;5274;6
BAHIA;5274;64
CEARA;5274;67
DISTRITO FEDERAL;5274;39
ESPIRITO SANTO;5274;17
GOIAS;5274;187
MARANHAO;5274;162
MATO GROSSO;5274;102
MATO GROSSO DO SUL;5274;42
MINAS GERAIS;5274;453
PARA;5274;37
PARAIBA;5274;29
PARANA;5274;137
PERNAMBUCO;5274;118
PIAUI;5274;3
RIO DE JANEIRO;5274;25
RIO GRANDE DO NORTE;5274;8
RIO GRANDE DO SUL;5274;14
RONDONIA;5274;77
RORAIMA;5274;21
SANTA CATARINA;5274;195
SAO PAULO;5274;2003
SERGIPE;5274;27
TOCANTINS;5274;14
AMAPA;5282;2
DISTRITO FEDERAL;5282;3
ESPIRITO SANTO;5282;4
GOIAS;5282;1
MARANHAO;5282;2
MATO GROSSO;5282;5
MATO GROSSO DO SUL;5282;1
MINAS GERAIS;5282;47
PARAIBA;5282;3
PARANA;5282;6
PERNAMBUCO;5282;2
PIAUI;5282;1
RIO GRANDE DO NORTE;5282;3
RIO GRANDE DO SUL;5282;2
RONDONIA;5282;4
RORAIMA;5282;2
SANTA CATARINA;5282;16
SAO PAULO;5282;19
AMAPA;5290;1
ESPIRITO SANTO;5290;1
GOIAS;5290;1
MATO GROSSO DO SUL;5290;1
MINAS GERAIS;5290;9
PARANA;5290;3
SANTA CATARINA;5290;9
SAO PAULO;5290;2
AMAPA;5304;1
ESPIRITO SANTO;5304;1
GOIAS;5304;2
MATO GROSSO;5304;4
MATO GROSSO DO SUL;5304;1
MINAS GERAIS;5304;12
PARAIBA;5304;1
PARANA;5304;1
PERNAMBUCO;5304;1
RONDONIA;5304;1
SANTA CATARINA;5304;7
SAO PAULO;5304;7
BAHIA;5312;1
DISTRITO FEDERAL;5312;1
RIO GRANDE DO SUL;5312;1
AMAZONAS;5320;1
AMAPA;5320;1
BAHIA;5320;2
DISTRITO FEDERAL;5320;1
ESPIRITO SANTO;5320;3
GOIAS;5320;1
MATO GROSSO;5320;3
MATO GROSSO DO SUL;5320;3
MINAS GERAIS;5320;17
PARAIBA;5320;1
PARANA;5320;8
RIO DE JANEIRO;5320;1
RIO GRANDE DO NORTE;5320;4
RIO GRANDE DO SUL;5320;1
SANTA CATARINA;5320;5
SAO PAULO;5320;9
TOCANTINS;5320;1
PARANA;5339;1
BAHIA;5347;1
DISTRITO FEDERAL;5347;2
ESPIRITO SANTO;5347;4
GOIAS;5347;1
MATO GROSSO DO SUL;5347;1
MINAS GERAIS;5347;13
PARAIBA;5347;1
PARANA;5347;10
PERNAMBUCO;5347;2
RIO DE JANEIRO;5347;2
RIO GRANDE DO NORTE;5347;1
RIO GRANDE DO SUL;5347;1
RORAIMA;5347;1
SANTA CATARINA;5347;11
SAO PAULO;5347;15
MATO GROSSO;5355;1
MINAS GERAIS;5355;1
PARANA;5355;1
SAO PAULO;5355;4
BAHIA;5363;4
MATO GROSSO DO SUL;5363;2
PARA;5363;5
PARAIBA;5363;1
SANTA CATARINA;5363;1
SAO PAULO;5363;2
ALAGOAS;5371;1
AMAZONAS;5371;13
AMAPA;5371;1
BAHIA;5371;6
DISTRITO FEDERAL;5371;9
GOIAS;5371;3
MARANHAO;5371;2
MATO GROSSO;5371;1
MATO GROSSO DO SUL;5371;1
MINAS GERAIS;5371;22
PARA;5371;2
PARANA;5371;18
PERNAMBUCO;5371;3
PIAUI;5371;1
RIO DE JANEIRO;5371;1
RIO GRANDE DO SUL;5371;3
SANTA CATARINA;5371;7
SAO PAULO;5371;169
ACRE;5380;5
ALAGOAS;5380;127
AMAZONAS;5380;118
AMAPA;5380;6
BAHIA;5380;239
CEARA;5380;427
DISTRITO FEDERAL;5380;175
ESPIRITO SANTO;5380;53
GOIAS;5380;783
MARANHAO;5380;401
MATO GROSSO;5380;71
MATO GROSSO DO SUL;5380;34
MINAS GERAIS;5380;584
PARA;5380;472
PARAIBA;5380;85
PARANA;5380;409
PERNAMBUCO;5380;290
PIAUI;5380;35
RIO DE JANEIRO;5380;546
RIO GRANDE DO NORTE;5380;166
RIO GRANDE DO SUL;5380;89
RONDONIA;5380;671
RORAIMA;5380;10
SANTA CATARINA;5380;270
SAO PAULO;5380;3050
SERGIPE;5380;33
TOCANTINS;5380;23
ALAGOAS;5398;3
AMAZONAS;5398;8
BAHIA;5398;14
CEARA;5398;6
DISTRITO FEDERAL;5398;3
ESPIRITO SANTO;5398;6
GOIAS;5398;10
MARANHAO;5398;25
MATO GROSSO;5398;4
MATO GROSSO DO SUL;5398;2
MINAS GERAIS;5398;68
PARA;5398;3
PARAIBA;5398;7
PARANA;5398;16
PERNAMBUCO;5398;6
PIAUI;5398;5
RIO DE JANEIRO;5398;9
RIO GRANDE DO NORTE;5398;1
RIO GRANDE DO SUL;5398;6
RONDONIA;5398;43
RORAIMA;5398;4
SANTA CATARINA;5398;19
SAO PAULO;5398;189
SERGIPE;5398;1
TOCANTINS;5398;3
ACRE;5401;1
ALAGOAS;5401;4
AMAZONAS;5401;46
BAHIA;5401;103
CEARA;5401;97
DISTRITO FEDERAL;5401;12
ESPIRITO SANTO;5401;11
GOIAS;5401;18
MARANHAO;5401;71
MATO GROSSO;5401;6
MATO GROSSO DO SUL;5401;8
MINAS GERAIS;5401;112
PARA;5401;64
PARAIBA;5401;41
PARANA;5401;32
PERNAMBUCO;5401;24
PIAUI;5401;12
RIO DE JANEIRO;5401;11
RIO GRANDE DO NORTE;5401;83
RIO GRANDE DO SUL;5401;3
RONDONIA;5401;75
RORAIMA;5401;5
SANTA CATARINA;5401;23
SAO PAULO;5401;313
SERGIPE;5401;10
TOCANTINS;5401;3
ACRE;5410;3
ALAGOAS;5410;4
AMAZONAS;5410;213
AMAPA;5410;5
BAHIA;5410;49
CEARA;5410;81
DISTRITO FEDERAL;5410;339
ESPIRITO SANTO;5410;37
GOIAS;5410;231
MARANHAO;5410;154
MATO GROSSO;5410;48
MATO GROSSO DO SUL;5410;12
MINAS GERAIS;5410;221
PARA;5410;327
PARAIBA;5410;13
PARANA;5410;151
PERNAMBUCO;5410;109
PIAUI;5410;24
RIO DE JANEIRO;5410;199
RIO GRANDE DO NORTE;5410;39
RIO GRANDE DO SUL;5410;39
RONDONIA;5410;72
RORAIMA;5410;22
SANTA CATARINA;5410;143
SAO PAULO;5410;528
SERGIPE;5410;7
TOCANTINS;5410;19
ACRE;5428;1
ALAGOAS;5428;6
AMAZONAS;5428;1
AMAPA;5428;23
BAHIA;5428;59
CEARA;5428;7
DISTRITO FEDERAL;5428;64
ESPIRITO SANTO;5428;24
GOIAS;5428;77
MARANHAO;5428;9
MATO GROSSO;5428;11
MATO GROSSO DO SUL;5428;12
MINAS GERAIS;5428;96
PARA;5428;180
PARAIBA;5428;20
PARANA;5428;78
PERNAMBUCO;5428;66
PIAUI;5428;10
RIO DE JANEIRO;5428;106
RIO GRANDE DO NORTE;5428;11
RIO GRANDE DO SUL;5428;19
RONDONIA;5428;7
SANTA CATARINA;5428;71
SAO PAULO;5428;132
SERGIPE;5428;1
TOCANTINS;5428;2
ALAGOAS;5436;2
BAHIA;5436;8
CEARA;5436;1
ESPIRITO SANTO;5436;1
GOIAS;5436;8
MARANHAO;5436;1
MATO GROSSO DO SUL;5436;4
MINAS GERAIS;5436;8
PARANA;5436;11
RIO DE JANEIRO;5436;4
SANTA CATARINA;5436;23
SAO PAULO;5436;40
TOCANTINS;5436;13
ACRE;5444;2
ALAGOAS;5444;6
AMAZONAS;5444;6
AMAPA;5444;3
BAHIA;5444;62
CEARA;5444;3
DISTRITO FEDERAL;5444;67
ESPIRITO SANTO;5444;6
GOIAS;5444;151
MARANHAO;5444;10
MATO GROSSO;5444;13
MATO GROSSO DO SUL;5444;12
MINAS GERAIS;5444;215
PARA;5444;48
PARAIBA;5444;5
PARANA;5444;77
PERNAMBUCO;5444;16
PIAUI;5444;7
RIO DE JANEIRO;5444;50
RIO GRANDE DO NORTE;5444;6
RIO GRANDE DO SUL;5444;56
RONDONIA;5444;1
RORAIMA;5444;2
SANTA CATARINA;5444;297
SAO PAULO;5444;286
SERGIPE;5444;4
TOCANTINS;5444;8
ACRE;5452;259
ALAGOAS;5452;581
AMAZONAS;5452;842
AMAPA;5452;50
BAHIA;5452;1687
CEARA;5452;2872
DISTRITO FEDERAL;5452;828
ESPIRITO SANTO;5452;667
GOIAS;5452;2814
MARANHAO;5452;1618
MATO GROSSO;5452;485
MATO GROSSO DO SUL;5452;296
MINAS GERAIS;5452;3485
PARA;5452;1955
PARAIBA;5452;730
PARANA;5452;4211
PERNAMBUCO;5452;3278
PIAUI;5452;299
RIO DE JANEIRO;5452;4932
RIO GRANDE DO NORTE;5452;857
RIO GRANDE DO SUL;5452;371
RONDONIA;5452;246
RORAIMA;5452;34
SANTA CATARINA;5452;1811
SAO PAULO;5452;16532
SERGIPE;5452;76
TOCANTINS;5452;212
ACRE;5460;25
ALAGOAS;5460;22
AMAZONAS;5460;35
AMAPA;5460;4
BAHIA;5460;146
CEARA;5460;76
DISTRITO FEDERAL;5460;41
ESPIRITO SANTO;5460;95
GOIAS;5460;126
MARANHAO;5460;255
MATO GROSSO;5460;48
MATO GROSSO DO SUL;5460;38
MINAS GERAIS;5460;606
PARA;5460;64
PARAIBA;5460;55
PARANA;5460;795
PERNAMBUCO;5460;262
PIAUI;5460;18
RIO DE JANEIRO;5460;228
RIO GRANDE DO NORTE;5460;130
RIO GRANDE DO SUL;5460;56
RONDONIA;5460;29
RORAIMA;5460;9
SANTA CATARINA;5460;401
SAO PAULO;5460;2627
SERGIPE;5460;8
TOCANTINS;5460;9
ACRE;5479;14
ALAGOAS;5479;11
AMAZONAS;5479;67
AMAPA;5479;65
BAHIA;5479;399
CEARA;5479;125
DISTRITO FEDERAL;5479;315
ESPIRITO SANTO;5479;65
GOIAS;5479;59
MARANHAO;5479;101
MATO GROSSO;5479;8
MATO GROSSO DO SUL;5479;21
MINAS GERAIS;5479;223
PARA;5479;39
PARAIBA;5479;94
PARANA;5479;128
PERNAMBUCO;5479;306
PIAUI;5479;65
RIO DE JANEIRO;5479;209
RIO GRANDE DO NORTE;5479;211
RIO GRANDE DO SUL;5479;24
RONDONIA;5479;12
RORAIMA;5479;2
SANTA CATARINA;5479;61
SAO PAULO;5479;191
SERGIPE;5479;22
TOCANTINS;5479;6
ACRE;5487;41
ALAGOAS;5487;53
AMAZONAS;5487;496
AMAPA;5487;76
BAHIA;5487;558
CEARA;5487;379
DISTRITO FEDERAL;5487;146
ESPIRITO SANTO;5487;136
GOIAS;5487;580
MARANHAO;5487;4221
MATO GROSSO;5487;81
MATO GROSSO DO SUL;5487;93
MINAS GERAIS;5487;1134
PARA;5487;1482
PARAIBA;5487;338
PARANA;5487;451
PERNAMBUCO;5487;636
PIAUI;5487;175
RIO DE JANEIRO;5487;561
RIO GRANDE DO NORTE;5487;247
RIO GRANDE DO SUL;5487;52
RONDONIA;5487;362
RORAIMA;5487;35
SANTA CATARINA;5487;177
SAO PAULO;5487;3130
SERGIPE;5487;49
TOCANTINS;5487;383
ACRE;5495;5
ALAGOAS;5495;3
AMAZONAS;5495;14
BAHIA;5495;4
CEARA;5495;3
DISTRITO FEDERAL;5495;5
ESPIRITO SANTO;5495;4
GOIAS;5495;14
MARANHAO;5495;75
MATO GROSSO;5495;1
MATO GROSSO DO SUL;5495;2
MINAS GERAIS;5495;27
PARA;5495;14
PARAIBA;5495;1
PARANA;5495;15
PERNAMBUCO;5495;13
RIO DE JANEIRO;5495;4
RIO GRANDE DO NORTE;5495;7
RIO GRANDE DO SUL;5495;1
RONDONIA;5495;4
SANTA CATARINA;5495;8
SAO PAULO;5495;122
TOCANTINS;5495;3
ACRE;5509;130
ALAGOAS;5509;18
AMAZONAS;5509;74
AMAPA;5509;5
BAHIA;5509;322
CEARA;5509;76
DISTRITO FEDERAL;5509;63
ESPIRITO SANTO;5509;123
GOIAS;5509;79
MARANHAO;5509;163
MATO GROSSO;5509;49
MATO GROSSO DO SUL;5509;20
MINAS GERAIS;5509;788
PARA;5509;367
PARAIBA;5509;29
PARANA;5509;247
PERNAMBUCO;5509;178
PIAUI;5509;78
RIO DE JANEIRO;5509;559
