 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Set/2019
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";59856;60020;90357228,79;79991621,79;10362566,07;1505,45;1509,58;443105;7,4;8057;13,46
".. Cólera";43;43;41560,02;34329,68;7230,34;966,51;966,51;216;5,0;1;2,33
".. Febres tifóide e paratifóide";36;36;23368,85;20548,94;2819,91;649,13;649,13;124;3,4;1;2,78
".. Shiguelose";6;6;2372,78;2130,94;241,84;395,46;395,46;20;3,3;-;-
".. Amebíase";66;66;36122,14;31128,82;4552,09;547,31;547,31;258;3,9;2;3,03
".. Diarréia e gastroenterite origem infecc presum";9326;9326;3516696,35;3113110,94;403585,41;377,09;377,09;31132;3,3;100;1,07
".. Outras doenças infecciosas intestinais";6628;6629;2548283,65;2250194,97;298088,68;384,41;384,47;20675;3,1;51;0,77
".. Tuberculose respiratória";958;1076;1416980,10;1101935,06;315045,04;1316,90;1479,10;13222;13,8;79;8,25
".... Tuberculose pulmonar";687;804;1032831,04;796802,82;236028,22;1284,62;1503,39;10312;15,0;55;8,01
".... Outras tuberculoses respiratórias";260;261;377719,30;299844,19;77875,11;1447,20;1452,77;2830;10,9;24;9,23
".... Restante de tuberculose respiratória";11;11;6429,76;5288,05;1141,71;584,52;584,52;80;7,3;-;-
".. Outras tuberculoses";125;127;267825,10;223346,48;44478,62;2108,86;2142,60;1597;12,8;13;10,40
".... Tuberculose do sistema nervoso";26;26;71172,01;58279,45;12892,56;2737,39;2737,39;439;16,9;4;15,38
".... Tuberc intest peritônio glângl mesentéricos";6;6;7162,32;5399,85;1762,47;1193,72;1193,72;90;15,0;-;-
".... Tuberculose óssea e das articulações";9;10;22042,86;17750,90;4291,96;2204,29;2449,21;157;17,4;-;-
".... Tuberculose do aparelho geniturinário";4;4;10671,60;9176,83;1494,77;2667,90;2667,90;67;16,8;-;-
".... Tuberculose miliar";54;55;96568,06;80702,42;15865,64;1755,78;1788,30;540;10,0;7;12,96
".... Restante de outras tuberculoses";26;26;60208,25;52037,03;8171,22;2315,70;2315,70;304;11,7;2;7,69
".. Peste";2;2;1284,32;1204,63;79,69;642,16;642,16;5;2,5;1;50,00
".. Brucelose";2;2;2399,17;2218,62;180,55;1199,59;1199,59;7;3,5;-;-
".. Hanseníase [lepra]";151;154;90575,22;73327,67;17247,55;588,15;599,84;1261;8,4;-;-
".. Outros tétanos";13;13;46328,76;40353,78;5974,98;3563,75;3563,75;159;12,2;-;-
".. Difteria";3;3;2613,73;2397,07;216,66;871,24;871,24;10;3,3;-;-
".. Coqueluche";78;78;95288,53;86406,23;8882,30;1221,65;1221,65;459;5,9;-;-
".. Infecção meningocócica";77;77;163287,23;147340,01;15947,22;2120,61;2120,61;722;9,4;7;9,09
".. Septicemia";11492;11492;42142532,84;37450742,02;4691260,19;3667,12;3667,12;126677;11,0;5238;45,58
".. Outras doenças bacterianas";18599;18600;30250137,22;27163644,31;3084423,84;1626,35;1626,44;151679;8,2;2073;11,15
".... Leptospirose icterohemorrágica";7;7;37122,58;33897,13;3225,45;5303,23;5303,23;106;15,1;-;-
".... Outras formas de leptospirose";9;9;30119,14;28024,04;2095,10;3346,57;3346,57;130;14,4;-;-
".... Leptospirose não especificada";141;141;175175,81;156301,04;18874,77;1242,38;1242,38;1044;7,4;5;3,55
