 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Fev/2019
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";62251;62422;87242389,16;77197693,41;10042237,98;1397,62;1401,46;439405;7,1;7030;11,29
".. Cólera";37;37;21876,21;19166,77;2709,44;591,25;591,25;175;4,7;4;10,81
".. Febres tifóide e paratifóide";16;16;6000,38;5178,60;821,78;375,02;375,02;68;4,3;-;-
".. Shiguelose";11;11;3237,26;2857,80;379,46;294,30;294,30;28;2,5;-;-
".. Amebíase";65;65;21579,99;18959,50;2620,49;332,00;332,00;226;3,5;1;1,54
".. Diarréia e gastroenterite origem infecc presum";10512;10512;3989187,33;3525144,95;463766,18;379,49;379,49;33765;3,2;77;0,73
".. Outras doenças infecciosas intestinais";8231;8231;3089410,84;2729856,80;359481,99;375,34;375,34;24581;3,0;57;0,69
".. Tuberculose respiratória";898;1017;1426966,92;1115483,42;311483,50;1403,11;1589,05;12667;14,1;73;8,13
".... Tuberculose pulmonar";652;769;1056950,28;819505,34;237444,94;1374,45;1621,09;10080;15,5;50;7,67
".... Outras tuberculoses respiratórias";246;248;370016,64;295978,08;74038,56;1492,00;1504,13;2587;10,5;23;9,35
".. Outras tuberculoses";108;115;201247,14;167596,65;33650,49;1749,98;1863,40;1457;13,5;9;8,33
".... Tuberculose do sistema nervoso";21;25;51537,10;42848,50;8688,60;2061,48;2454,15;384;18,3;3;14,29
".... Tuberc intest peritônio glângl mesentéricos";10;10;16223,81;13220,49;3003,32;1622,38;1622,38;126;12,6;1;10,00
".... Tuberculose óssea e das articulações";5;5;4412,56;3687,23;725,33;882,51;882,51;38;7,6;-;-
".... Tuberculose miliar";43;44;57047,01;47796,02;9250,99;1296,52;1326,67;473;11,0;4;9,30
".... Restante de outras tuberculoses";29;31;72026,66;60044,41;11982,25;2323,44;2483,68;436;15,0;1;3,45
".. Peste";3;3;1942,90;1613,67;329,23;647,63;647,63;18;6,0;2;66,67
".. Brucelose";2;2;660,38;584,10;76,28;330,19;330,19;8;4,0;-;-
