 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Out/2019
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";61095;61260;93375967,71;82719157,33;10654977,70;1524,26;1528,37;448654;7,3;8006;13,10
".. Cólera";53;53;38789,48;33507,87;5281,61;731,88;731,88;239;4,5;1;1,89
".. Febres tifóide e paratifóide";20;20;11994,34;10125,46;1868,88;599,72;599,72;84;4,2;-;-
".. Shiguelose";14;14;6743,92;5799,62;944,30;481,71;481,71;41;2,9;-;-
".. Amebíase";82;82;33221,91;28611,14;4610,77;405,15;405,15;328;4,0;4;4,88
".. Diarréia e gastroenterite origem infecc presum";9903;9903;3729603,27;3302312,61;427290,66;376,61;376,61;31407;3,2;101;1,02
".. Outras doenças infecciosas intestinais";7217;7217;2718989,84;2401502,36;317303,59;376,75;376,75;21512;3,0;48;0,67
".. Tuberculose respiratória";1031;1155;1520086,53;1173670,82;346415,71;1316,09;1474,38;14309;13,9;80;7,76
".... Tuberculose pulmonar";759;883;1136951,11;870061,63;266889,48;1287,60;1497,96;11614;15,3;54;7,11
".... Outras tuberculoses respiratórias";258;258;377448,85;298958,07;78490,78;1462,98;1462,98;2576;10,0;23;8,91
".... Restante de tuberculose respiratória";14;14;5686,57;4651,12;1035,45;406,18;406,18;119;8,5;3;21,43
".. Outras tuberculoses";109;110;138513,84;114070,73;24443,11;1259,22;1270,77;1314;12,1;6;5,50
".... Tuberculose do sistema nervoso";25;26;46272,82;38083,97;8188,85;1779,72;1850,91;354;14,2;2;8,00
".... Tuberc intest peritônio glângl mesentéricos";4;4;6303,65;5056,02;1247,63;1575,91;1575,91;99;24,8;-;-
".... Tuberculose óssea e das articulações";13;13;20722,60;17129,52;3593,08;1594,05;1594,05;249;19,2;-;-
".... Tuberculose do aparelho geniturinário";2;2;467,18;422,56;44,62;233,59;233,59;19;9,5;-;-
".... Tuberculose miliar";33;33;29631,28;24338,87;5292,41;897,92;897,92;270;8,2;2;6,06
".... Restante de outras tuberculoses";32;32;35116,31;29039,79;6076,52;1097,38;1097,38;323;10,1;2;6,25
".. Peste";2;2;714,13;593,65;120,48;357,06;357,06;19;9,5;-;-
".. Hanseníase [lepra]";140;143;135483,88;113891,65;21592,23;947,44;967,74;1295;9,3;4;2,86
".. Tétano neonatal";1;1;218,68;188,00;30,68;218,68;218,68;2;2,0;-;-
".. Outros tétanos";9;9;74006,69;64305,63;9701,06;8222,97;8222,97;209;23,2;3;33,33
".. Difteria";8;8;24230,42;21415,26;2815,16;3028,80;3028,80;51;6,4;2;25,00
".. Coqueluche";71;71;125385,06;112843,26;12541,80;1765,99;1765,99;510;7,2;-;-
".. Infecção meningocócica";85;85;169339,27;151296,08;18043,19;1992,23;1992,23;738;8,7;9;10,59
".. Septicemia";11778;11778;44022251,21;39140946,84;4880355,03;3737,67;3737,67;132971;11,3;5246;44,54
".. Outras doenças bacterianas";19145;19146;30959995,74;27772922,29;3186408,68;1617,05;1617,13;152325;8,0;2054;10,73
".... Leptospirose icterohemorrágica";8;8;23764,74;21427,80;2336,94;2970,59;2970,59;58;7,3;3;37,50
".... Outras formas de leptospirose";19;19;54320,89;48548,59;5772,30;2858,99;2858,99;139;7,3;-;-
".... Leptospirose não especificada";115;115;120074,15;107143,39;12930,76;1044,12;1044,12;652;5,7;7;6,09
".... Restante de outras doenças bacterianas";19003;19004;30761835,96;27595802,51;3165368,68;1618,70;1618,79;151476;8,0;2044;10,76
".. Sífilis congênita";1476;1476;1059012,18;773575,16;285437,02;717,49;717,49;13262;9,0;3;0,20
".. Sífilis precoce";44;44;19298,68;14743,96;4554,72;438,61;438,61;321;7,3;1;2,27
