 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Jun/2019
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";65851;66017;94667479,00;83570971,70;11094854,45;1433,99;1437,60;467912;7,1;8268;12,56
".. Cólera";62;62;85564,70;67586,65;17906,00;1380,08;1380,08;217;3,5;1;1,61
".. Febres tifóide e paratifóide";24;24;9516,10;8511,01;1005,09;396,50;396,50;100;4,2;-;-
".. Shiguelose";15;15;4559,38;3989,07;570,31;303,96;303,96;41;2,7;-;-
".. Amebíase";53;53;23243,64;20517,78;2725,86;438,56;438,56;218;4,1;2;3,77
".. Diarréia e gastroenterite origem infecc presum";8090;8090;3080311,62;2721760,14;358551,48;380,76;380,76;27311;3,4;99;1,22
".. Outras doenças infecciosas intestinais";6446;6446;2511590,96;2215726,27;295864,69;389,64;389,64;20047;3,1;57;0,88
".. Tuberculose respiratória";957;1072;1651166,44;1303448,12;347606,48;1540,27;1725,36;13685;14,3;100;10,45
".... Tuberculose pulmonar";688;801;1246857,22;985919,18;260826,20;1556,63;1812,29;10980;16,0;56;8,14
".... Outras tuberculoses respiratórias";260;262;398085,67;312339,63;85746,04;1519,41;1531,10;2656;10,2;42;16,15
".... Restante de tuberculose respiratória";9;9;6223,55;5189,31;1034,24;691,51;691,51;49;5,4;2;22,22
".. Outras tuberculoses";103;106;151118,22;124268,09;26850,13;1425,64;1467,17;1257;12,2;10;9,71
".... Tuberculose do sistema nervoso";25;26;51331,81;42609,48;8722,33;1974,30;2053,27;350;14,0;3;12,00
".... Tuberc intest peritônio glângl mesentéricos";6;6;10330,74;8759,11;1571,63;1721,79;1721,79;66;11,0;-;-
".... Tuberculose óssea e das articulações";3;3;3498,66;2702,67;795,99;1166,22;1166,22;45;15,0;-;-
".... Tuberculose do aparelho geniturinário";1;1;82,46;60,15;22,31;82,46;82,46;14;14,0;-;-
".... Tuberculose miliar";42;43;60888,94;50246,40;10642,54;1416,02;1449,74;447;10,6;7;16,67
".... Restante de outras tuberculoses";26;27;24985,61;19890,28;5095,33;925,39;960,98;335;12,9;-;-
".. Peste";2;2;1339,26;1163,43;175,83;669,63;669,63;20;10,0;-;-
".. Brucelose";1;1;458,90;386,72;72,18;458,90;458,90;4;4,0;-;-
".. Hanseníase [lepra]";191;195;146332,81;114969,75;31363,06;750,42;766,14;1470;7,7;3;1,57
".. Tétano neonatal";1;1;865,91;793,69;72,22;865,91;865,91;2;2,0;-;-
".. Outros tétanos";12;12;124705,13;110921,72;13783,41;10392,09;10392,09;316;26,3;3;25,00
".. Difteria";13;13;28915,97;25678,41;3237,56;2224,31;2224,31;72;5,5;1;7,69
".. Coqueluche";96;96;84870,84;78033,75;6837,09;884,07;884,07;463;4,8;-;-
".. Infecção meningocócica";73;73;174769,72;156194,71;18575,01;2394,11;2394,11;687;9,4;6;8,22
".. Septicemia";11255;11257;41914956,16;37239269,20;4675001,55;3723,46;3724,12;127234;11,3;5197;46,18
".. Outras doenças bacterianas";19724;19725;32230787,42;28900874,25;3329581,47;1634,01;1634,09;158283;8,0;2264;11,48
".... Leptospirose icterohemorrágica";10;10;28303,80;24766,58;3537,22;2830,38;2830,38;76;7,6;3;30,00
".... Outras formas de leptospirose";13;13;14549,03;12923,97;1625,06;1119,16;1119,16;87;6,7;1;7,69
".... Leptospirose não especificada";198;198;224828,06;200957,83;23870,23;1135,50;1135,50;1487;7,5;12;6,06
".... Restante de outras doenças bacterianas";19503;19504;31963106,53;28662225,87;3300548,96;1638,80;1638,88;156633;8,0;2248;11,53
".. Sífilis congênita";1616;1616;1094753,22;763338,18;331415,04;677,45;677,45;14519;9,0;3;0,19
".. Sífilis precoce";31;31;17933,99;14953,51;2980,48;578,52;578,52;282;9,1;-;-
".. Outras sífilis";171;171;102812,22;77486,69;25325,53;601,24;601,24;1761;10,3;2;1,17
".. Infecção gonocócica";10;10;7906,79;6793,49;1113,30;790,68;790,68;88;8,8;1;10,00
".. Doenças por clamídias transmitidas via sexual";6;6;9032,60;7954,85;1077,75;1505,43;1505,43;87;14,5;-;-
".. Outras infecções com transm predominant sexual";79;79;27154,24;22434,62;4719,62;343,72;343,72;567;7,2;1;1,27
".. Febres recorrentes";91;91;31226,37;26350,43;4875,94;343,15;343,15;333;3,7;-;-
".. Raiva";3;3;19374,63;17201,58;2173,05;6458,21;6458,21;62;20,7;-;-
".. Encefalite viral";205;205;355024,78;321207,96;33816,82;1731,83;1731,83;1970;9,6;12;5,85
".. Febre amarela";5;5;17057,18;15094,11;1963,07;3411,44;3411,44;44;8,8;-;-
".. Outras febre p/arbovírus e febr hemorr p/vírus";9185;9185;3510732,66;2898276,76;612076,10;382,22;382,22;30295;3,3;79;0,86
".... Dengue [dengue clásssico]";8182;8182;3010697,57;2472427,52;537962,30;367,97;367,97;26431;3,2;57;0,70
".... Febre hemorrágica devida ao vírus da dengue";639;639;391203,04;333695,79;57435,20;612,21;612,21;2585;4,0;19;2,97
".... Restante outr febr arbovírus febr hemor vírus";364;364;108832,05;92153,45;16678,60;298,99;298,99;1279;3,5;3;0,82
".. Infecções pelo vírus do herpes";99;99;82254,97;68947,64;13307,33;830,86;830,86;605;6,1;3;3,03
".. Varicela e herpes zoster";461;462;426399,62;372568,07;53831,55;922,94;924,94;3150;6,8;50;10,85
".. Sarampo";11;11;4060,14;3423,71;636,43;369,10;369,10;42;3,8;-;-
".. Rubéola";1;1;224,97;191,46;33,51;224,97;224,97;2;2,0;-;-
".. Hepatite aguda B";59;59;79344,09;71457,68;7814,36;1344,82;1344,82;559;9,5;13;22,03
".. Outras hepatites virais";235;235;135978,45;119600,94;16377,51;578,63;578,63;1543;6,6;22;9,36
".. Doença pelo vírus da imunodefic humana [HIV]";2012;2042;3558857,79;3159791,19;399066,60;1742,83;1768,82;33069;16,4;234;11,63
".. Caxumba [parotidite epidêmica]";51;51;10218,96;8497,29;1721,67;200,37;200,37;192;3,8;-;-
".. Outras doenças virais";1802;1802;1118780,22;947096,73;171683,49;620,85;620,85;8982;5,0;28;1,55
".... Meningite viral";246;246;260864,74;236015,24;24849,50;1060,43;1060,43;1585;6,4;5;2,03
".... Restante de outras doenças virais";1556;1556;857915,48;711081,49;146833,99;551,36;551,36;7397;4,8;23;1,48
