 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Jul/2019
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";61596;61763;91963847,66;81344566,13;10617732,26;1488,98;1493,02;452779;7,4;8298;13,47
".. Cólera";40;40;39755,52;32444,11;7311,41;993,89;993,89;208;5,2;-;-
".. Febres tifóide e paratifóide";21;21;9458,89;8460,91;997,98;450,42;450,42;113;5,4;-;-
".. Shiguelose";5;5;1419,98;1252,07;167,91;284,00;284,00;12;2,4;-;-
".. Amebíase";68;68;27519,98;24282,85;3237,13;404,71;404,71;278;4,1;1;1,47
".. Diarréia e gastroenterite origem infecc presum";7900;7900;3065025,55;2706002,94;358972,81;387,98;387,98;26056;3,3;103;1,30
".. Outras doenças infecciosas intestinais";5972;5973;2362883,91;2079848,81;283035,10;395,59;395,66;18374;3,1;70;1,17
".. Tuberculose respiratória";917;1031;1433650,91;1118061,62;315589,29;1390,54;1563,41;12813;14,0;90;9,81
".... Tuberculose pulmonar";667;781;1065947,39;827724,17;238223,22;1364,85;1598,12;10485;15,7;52;7,80
".... Outras tuberculoses respiratórias";243;243;362644,81;286179,10;76465,71;1492,37;1492,37;2261;9,3;38;15,64
".... Restante de tuberculose respiratória";7;7;5058,71;4158,35;900,36;722,67;722,67;67;9,6;-;-
".. Outras tuberculoses";112;116;262377,21;218072,29;44304,92;2261,87;2342,65;1595;14,2;18;16,07
".... Tuberculose do sistema nervoso";22;24;57857,26;46143,49;11713,77;2410,72;2629,88;380;17,3;4;18,18
".... Tuberc intest peritônio glângl mesentéricos";6;6;12231,69;10494,73;1736,96;2038,62;2038,62;101;16,8;-;-
".... Tuberculose óssea e das articulações";3;3;5058,37;4139,03;919,34;1686,12;1686,12;43;14,3;-;-
".... Tuberculose do aparelho geniturinário";1;1;9995,49;8761,49;1234,00;9995,49;9995,49;43;43,0;-;-
".... Tuberculose miliar";45;45;100117,48;83324,81;16792,67;2224,83;2224,83;459;10,2;9;20,00
".... Restante de outras tuberculoses";35;37;77116,92;65208,74;11908,18;2084,24;2203,34;569;16,3;5;14,29
".. Peste";2;2;535,12;457,66;77,46;267,56;267,56;6;3,0;-;-
".. Brucelose";3;3;3853,98;3520,68;333,30;1284,66;1284,66;46;15,3;-;-
".. Hanseníase [lepra]";177;182;139317,52;110616,89;28700,63;765,48;787,10;1597;9,0;4;2,26
".. Outros tétanos";11;11;37449,21;33211,45;4237,76;3404,47;3404,47;135;12,3;3;27,27
".. Difteria";7;7;7961,63;7252,69;708,94;1137,38;1137,38;40;5,7;1;14,29
".. Coqueluche";79;79;105903,21;94948,32;10954,89;1340,55;1340,55;480;6,1;-;-
".. Infecção meningocócica";81;81;200610,18;180401,09;20209,09;2476,67;2476,67;788;9,7;13;16,05
".. Septicemia";11774;11776;43203201,47;38392786,38;4809485,43;3668,75;3669,37;131671;11,2;5429;46,11
".. Outras doenças bacterianas";19294;19295;30529317,88;27406856,47;3122143,11;1582,24;1582,32;155478;8,1;2118;10,98
".... Leptospirose icterohemorrágica";11;11;51821,78;46575,10;5246,68;4711,07;4711,07;162;14,7;1;9,09
".... Outras formas de leptospirose";21;21;32833,70;29299,42;3534,28;1563,51;1563,51;153;7,3;-;-
".... Leptospirose não especificada";171;171;253638,22;223219,80;30418,42;1483,26;1483,26;1410;8,2;8;4,68
".... Restante de outras doenças bacterianas";19091;19092;30191024,18;27107762,15;3082943,73;1581,34;1581,43;153753;8,1;2109;11,05
".. Sífilis congênita";1528;1528;1030872,47;728884,84;301987,63;674,65;674,65;13625;8,9;4;0,26
".. Sífilis precoce";39;39;21092,26;16261,61;4830,65;540,83;540,83;332;8,5;1;2,56
".. Outras sífilis";147;147;78328,69;61938,02;16390,67;532,85;532,85;1443;9,8;-;-
".. Infecção gonocócica";10;10;3513,14;3033,25;479,89;351,31;351,31;61;6,1;1;10,00
".. Doenças por clamídias transmitidas via sexual";4;4;1712,23;1496,82;215,41;428,06;428,06;19;4,8;-;-
".. Outras infecções com transm predominant sexual";97;97;41355,61;32341,55;9014,06;426,35;426,35;725;7,5;2;2,06
".. Febres recorrentes";90;90;31379,73;27028,86;4350,87;348,66;348,66;422;4,7;-;-
".. Raiva";4;4;17304,00;15095,23;2208,77;4326,00;4326,00;49;12,3;-;-
".. Encefalite viral";186;186;270926,84;247102,89;23823,95;1456,60;1456,60;1747;9,4;10;5,38
".. Febre amarela";3;3;1620,89;1456,28;164,61;540,30;540,30;29;9,7;-;-
".. Outras febre p/arbovírus e febr hemorr p/vírus";5857;5857;2269071,36;1875029,49;393873,97;387,41;387,41;20089;3,4;57;0,97
".... Dengue [dengue clásssico]";5176;5176;1885899,64;1547923,55;337868,24;364,35;364,35;17087;3,3;29;0,56
".... Febre hemorrágica devida ao vírus da dengue";393;393;272677,93;233405,84;39212,04;693,84;693,84;1799;4,6;23;5,85
".... Restante outr febr arbovírus febr hemor vírus";288;288;110493,79;93700,10;16793,69;383,66;383,66;1203;4,2;5;1,74
".. Infecções pelo vírus do herpes";91;91;29007,89;23695,47;5312,42;318,77;318,77;470;5,2;2;2,20
".. Varicela e herpes zoster";460;460;400836,68;348748,57;52088,11;871,38;871,38;3037;6,6;34;7,39
".. Sarampo";45;45;11762,49;9892,55;1869,94;261,39;261,39;169;3,8;-;-
".. Rubéola";1;1;190,42;155,07;35,35;190,42;190,42;2;2,0;-;-
".. Hepatite aguda B";74;74;84958,21;76063,29;8894,92;1148,08;1148,08;602;8,1;8;10,81
".. Outras hepatites virais";226;226;95290,20;83655,15;11635,05;421,64;421,64;1368;6,1;13;5,75
".. Doença pelo vírus da imunodefic humana [HIV]";1876;1905;3177830,72;2829198,15;348632,57;1668,15;1693,94;30864;16,5;214;11,41
".. Caxumba [parotidite epidêmica]";39;39;7333,25;6134,34;1198,91;188,03;188,03;142;3,6;-;-
".. Outras doenças virais";1623;1623;1055548,12;898000,77;157547,35;650,37;650,37;8335;5,1;24;1,48
".... Meningite viral";233;233;236792,23;215033,31;21758,92;1016,28;1016,28;1435;6,2;8;3,43
".... Restante de outras doenças virais";1390;1390;818755,89;682967,46;135788,43;589,03;589,03;6900;5,0;16;1,15
".. Micoses";222;222;355246,58;313369,17;41877,41;1600,21;1600,21;2554;11,5;12;5,41
".. Malária";179;179;63829,19;54063,60;9765,59;356,59;356,59;765;4,3;2;1,12
".... Malária por Plasmodium falciparum";31;31;19131,61;16410,08;2721,53;617,15;617,15;152;4,9;-;-
".... Malária por Plasmodium vivax";108;108;33353,35;28080,03;5273,32;308,83;308,83;443;4,1;2;1,85
".... Malária por Plasmodium malariae";7;7;1706,42;1409,62;296,80;243,77;243,77;39;5,6;-;-
".... Outras formas malária conf exames parasitológ";1;1;229,21;186,81;42,40;229,21;229,21;4;4,0;-;-
".... Malária não especificada";32;32;9408,60;7977,06;1431,54;294,02;294,02;127;4,0;-;-
".. Leishmaniose";290;290;144140,23;125687,65;18452,58;497,04;497,04;3425;11,8;7;2,41
".... Leishmaniose visceral";173;173;102322,35;88991,63;13330,72;591,46;591,46;2130;12,3;5;2,89
".... Leishmaniose cutânea";49;49;17929,30;15681,92;2247,38;365,90;365,90;476;9,7;1;2,04
".... Leishmaniose cutâneo-mucosa";15;15;5506,03;4807,49;698,54;367,07;367,07;227;15,1;1;6,67
".... Leishmaniose não especificada";53;53;18382,55;16206,61;2175,94;346,84;346,84;592;11,2;-;-
".. Tripanossomíase";68;68;95442,26;85818,65;9623,61;1403,56;1403,56;465;6,8;8;11,76
".. Esquistossomose";14;14;4418,83;3821,74;597,09;315,63;315,63;57;4,1;-;-
".. Equinococose";1;1;189,67;146,49;43,18;189,67;189,67;2;2,0;-;-
".. Filariose";6;6;1235,46;976,38;259,08;205,91;205,91;25;4,2;-;-
".. Outras helmintíases";64;64;47531,85;36924,84;10595,45;742,69;742,69;458;7,2;-;-
".. Seqüelas de tuberculose";12;13;87262,32;72846,58;14415,74;6712,49;7271,86;235;19,6;-;-
".. Seqüelas de poliomielite";12;16;20791,55;18184,24;2607,31;1299,47;1732,63;194;16,2;-;-
".. Seqüelas de hanseníase [lepra]";39;45;37604,41;30777,24;6827,17;835,65;964,22;536;13,7;-;-
".. Outras doenças infecciosas e parasitárias";1826;1826;1045977,96;898260,12;147645,79;572,82;572,82;10843;5,9;49;2,68
"02 Neoplasias (tumores)";33700;33718;57768702,67;47521293,47;10244765,80;1713,29;1714,20;222470;6,6;5025;14,91
".. Neoplasia maligna do lábio cavid oral e faringe";1166;1167;1596112,79;1341536,16;254576,63;1367,71;1368,88;7958;6,8;217;18,61
".. Neoplasia maligna do esôfago";1180;1180;1409169,06;1210669,90;198499,16;1194,21;1194,21;7361;6,2;244;20,68
".. Neoplasia maligna do estômago";1802;1802;3127399,04;2664464,54;462934,50;1735,52;1735,52;11571;6,4;329;18,26
".. Neoplasia maligna do cólon";2747;2747;5273912,39;4467179,82;806732,57;1919,88;1919,88;15241;5,5;302;10,99
".. Neopl malig junção retoss reto ânus canal anal";1447;1447;2571248,70;2177969,18;392896,94;1776,95;1776,95;8966;6,2;179;12,37
".. Neopl malig fígado e vias biliares intra-hepát";519;520;561704,40;482243,85;79460,55;1080,20;1082,28;3474;6,7;165;31,79
".. Neoplasia maligna do pâncreas";717;717;1164076,80;988314,43;175762,37;1623,54;1623,54;5614;7,8;205;28,59
".. Outras neoplasias malignas de órgãos digestivos";616;616;1169203,67;984130,77;183491,69;1898,06;1898,06;5538;9,0;145;23,54
".. Neoplasias malignas de laringe";547;547;724427,92;581930,94;142496,98;1324,37;1324,37;3697;6,8;84;15,36
".. Neoplasia maligna de traquéia brônquios e pulm";1628;1629;1816082,72;1537308,16;278774,56;1114,85;1115,53;12332;7,6;519;31,88
".. Outras neopl malig órg respirat e intratorác";266;266;542947,37;431262,31;111685,06;2041,16;2041,16;2110;7,9;46;17,29
".. Neoplasia maligna do osso e cartilagem articul";466;467;997452,00;833746,64;163705,36;2135,87;2140,45;3252;7,0;48;10,30
".. Neoplasia maligna da pele";209;210;227524,22;183171,45;44352,77;1083,45;1088,63;1079;5,2;38;18,18
