 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Mar/2020
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";65287;65457;94630828,14;83656984,69;10972098,18;1445,69;1449,46;464196;7,1;7800;11,95
".. Cólera";50;50;35678,11;31476,41;4201,70;713,56;713,56;245;4,9;2;4,00
".. Febres tifóide e paratifóide";25;25;19347,66;17042,35;2305,31;773,91;773,91;122;4,9;1;4,00
".. Shiguelose";17;17;6831,04;5840,89;990,15;401,83;401,83;66;3,9;-;-
".. Amebíase";57;57;35048,33;30433,76;4614,57;614,88;614,88;296;5,2;3;5,26
".. Diarréia e gastroenterite origem infecc presum";9607;9607;3761109,31;3324180,51;436856,75;391,50;391,50;31255;3,3;119;1,24
".. Outras doenças infecciosas intestinais";7027;7027;2815907,80;2489795,74;326112,06;400,73;400,73;22113;3,1;51;0,73
".. Tuberculose respiratória";1062;1184;1712558,89;1360574,68;351984,21;1446,42;1612,58;14509;13,7;103;9,70
".... Tuberculose pulmonar";742;863;1205354,84;947203,79;258151,05;1396,70;1624,47;11223;15,1;61;8,22
".... Outras tuberculoses respiratórias";299;299;477490,87;388474,12;89016,75;1596,96;1596,96;3067;10,3;38;12,71
".... Restante de tuberculose respiratória";21;22;29713,18;24896,77;4816,41;1350,60;1414,91;219;10,4;4;19,05
".. Outras tuberculoses";121;131;155190,80;128371,15;26819,65;1184,66;1282,57;1410;11,7;14;11,57
".... Tuberculose do sistema nervoso";35;36;67082,38;56647,74;10434,64;1863,40;1916,64;466;13,3;5;14,29
".... Tuberc intest peritônio glângl mesentéricos";1;1;384,81;253,57;131,24;384,81;384,81;4;4,0;-;-
".... Tuberculose óssea e das articulações";4;4;1821,44;1518,09;303,35;455,36;455,36;53;13,3;-;-
".... Tuberculose do aparelho geniturinário";5;6;5805,88;4663,62;1142,26;967,65;1161,18;65;13,0;-;-
".... Tuberculose miliar";43;46;41606,97;33782,78;7824,19;904,50;967,60;423;9,8;6;13,95
".... Restante de outras tuberculoses";33;38;38489,32;31505,35;6983,97;1012,88;1166,34;399;12,1;3;9,09
".. Peste";2;2;2685,51;2345,35;340,16;1342,75;1342,75;14;7,0;-;-
".. Brucelose";2;2;686,21;579,27;106,94;343,11;343,11;10;5,0;-;-
".. Hanseníase [lepra]";181;189;176075,83;141636,18;34439,65;931,62;972,79;1711;9,5;5;2,76
