 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Dez/2020
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";94645;94769;344973795,45;295216007,39;49754892,89;3640,15;3644,92;755766;8,0;16263;17,18
".. Cólera";30;30;28787,58;23435,30;5352,28;959,59;959,59;121;4,0;2;6,67
".. Febres tifóide e paratifóide";6;6;4930,64;4360,30;570,34;821,77;821,77;16;2,7;-;-
".. Shiguelose";6;6;2432,60;2158,30;274,30;405,43;405,43;16;2,7;-;-
".. Amebíase";60;60;22667,51;20032,26;2635,25;377,79;377,79;212;3,5;-;-
".. Diarréia e gastroenterite origem infecc presum";4849;4849;1937754,80;1715643,51;221895,59;399,62;399,62;15225;3,1;47;0,97
".. Outras doenças infecciosas intestinais";3859;3859;1719522,56;1512082,33;207440,23;445,59;445,59;12241;3,2;41;1,06
".. Tuberculose respiratória";772;872;1667682,98;1345786,62;321896,36;1912,48;2160,21;11533;14,9;82;10,62
".... Tuberculose pulmonar";506;602;1122238,05;901678,38;220559,67;1864,18;2217,86;8735;17,3;47;9,29
".... Outras tuberculoses respiratórias";243;247;531791,86;433643,04;98148,82;2153,00;2188,44;2640;10,9;31;12,76
".... Restante de tuberculose respiratória";23;23;13653,07;10465,20;3187,87;593,61;593,61;158;6,9;4;17,39
".. Outras tuberculoses";108;109;195100,68;163659,58;31429,54;1789,91;1806,49;1341;12,4;12;11,11
".... Tuberculose do sistema nervoso";17;17;24688,97;19914,19;4774,78;1452,29;1452,29;208;12,2;2;11,76
".... Tuberc intest peritônio glângl mesentéricos";7;7;13246,81;11330,13;1916,68;1892,40;1892,40;83;11,9;-;-
".... Tuberculose óssea e das articulações";7;7;9092,08;7719,55;1372,53;1298,87;1298,87;75;10,7;-;-
