 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Nov/2020
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";85637;85802;311799248,09;267680075,10;44117430,95;3633,94;3640,94;707703;8,3;14970;17,48
".. Cólera";30;30;21622,02;19180,21;2441,81;720,73;720,73;144;4,8;2;6,67
".. Febres tifóide e paratifóide";5;5;5858,10;4892,46;965,64;1171,62;1171,62;27;5,4;-;-
".. Shiguelose";6;6;833,61;709,86;123,75;138,94;138,94;12;2,0;-;-
".. Amebíase";34;34;17386,75;15385,63;2001,12;511,38;511,38;120;3,5;3;8,82
".. Diarréia e gastroenterite origem infecc presum";4952;4952;1956692,91;1734943,61;221677,25;395,13;395,13;15556;3,1;57;1,15
".. Outras doenças infecciosas intestinais";4039;4039;1715790,65;1517711,26;198079,39;424,81;424,81;12452;3,1;29;0,72
".. Tuberculose respiratória";798;919;1584944,62;1267427,09;317517,53;1724,64;1986,15;11226;14,1;82;10,28
".... Tuberculose pulmonar";531;645;1035009,72;819915,39;215094,33;1604,67;1949,17;8682;16,4;50;9,42
".... Outras tuberculoses respiratórias";254;261;543348,69;442116,87;101231,82;2081,80;2139,17;2427;9,6;32;12,60
".... Restante de tuberculose respiratória";13;13;6586,21;5394,83;1191,38;506,63;506,63;117;9,0;-;-
".. Outras tuberculoses";119;121;180253,47;150070,71;30182,76;1489,70;1514,74;1275;10,7;12;10,08
".... Tuberculose do sistema nervoso";31;33;54758,01;44702,78;10055,23;1659,33;1766,39;409;13,2;4;12,90
".... Tuberc intest peritônio glângl mesentéricos";8;8;11021,05;9390,20;1630,85;1377,63;1377,63;90;11,3;-;-
".... Tuberculose óssea e das articulações";3;3;7804,92;6388,60;1416,32;2601,64;2601,64;83;27,7;-;-
".... Tuberculose do aparelho geniturinário";1;1;852,26;696,09;156,17;852,26;852,26;7;7,0;-;-
".... Tuberculose miliar";56;56;68607,69;57181,36;11426,33;1225,14;1225,14;476;8,5;7;12,50
".... Restante de outras tuberculoses";20;20;37209,54;31711,68;5497,86;1860,48;1860,48;210;10,5;1;5,00
".. Peste";2;2;667,13;562,94;104,19;333,56;333,56;6;3,0;-;-
".. Hanseníase [lepra]";129;139;148241,62;120196,27;28045,35;1066,49;1149,16;1182;9,2;5;3,88
".. Outros tétanos";12;12;58335,91;50722,40;7613,51;4861,33;4861,33;142;11,8;4;33,33
".. Difteria";5;5;5784,95;5277,42;507,53;1156,99;1156,99;14;2,8;1;20,00
".. Coqueluche";5;5;5739,30;4789,35;949,95;1147,86;1147,86;35;7,0;1;20,00
".. Infecção meningocócica";39;39;86543,22;77861,93;8681,29;2219,06;2219,06;373;9,6;5;12,82
".. Septicemia";9355;9355;37848406,96;33559757,31;4288376,79;4045,79;4045,79;103634;11,1;4253;45,46
".. Outras doenças bacterianas";14709;14711;27743487,07;24768342,94;2974814,98;1885,90;1886,16;119443;8,1;1604;10,90
".... Leptospirose icterohemorrágica";4;4;12655,73;11279,49;1376,24;3163,93;3163,93;24;6,0;1;25,00
".... Outras formas de leptospirose";7;7;22830,68;20812,25;2018,43;3261,53;3261,53;52;7,4;-;-
".... Leptospirose não especificada";45;45;74150,70;63843,39;10307,31;1647,79;1647,79;290;6,4;-;-
".... Restante de outras doenças bacterianas";14653;14655;27633849,96;24672407,81;2961113,00;1885,63;1885,88;119077;8,1;1603;10,94
".. Sífilis congênita";1457;1457;1151180,14;818414,83;332765,31;790,10;790,10;13240;9,1;4;0,27
".. Sífilis precoce";63;63;39359,66;33371,94;5987,72;624,76;624,76;583;9,3;-;-
".. Outras sífilis";134;134;97786,63;74877,89;22908,74;729,75;729,75;1309;9,8;1;0,75
".. Infecção gonocócica";9;9;8285,75;7222,60;1063,15;920,64;920,64;40;4,4;-;-
".. Doenças por clamídias transmitidas via sexual";1;1;258,77;211,04;47,73;258,77;258,77;4;4,0;-;-
".. Outras infecções com transm predominant sexual";42;42;16755,47;13071,38;3684,09;398,94;398,94;242;5,8;2;4,76
".. Febres recorrentes";60;60;44581,65;39840,37;4741,28;743,03;743,03;291;4,8;-;-
".. Raiva";7;7;34293,83;31129,28;3164,55;4899,12;4899,12;156;22,3;1;14,29
".. Encefalite viral";120;120;286135,10;258358,49;27776,61;2384,46;2384,46;1564;13,0;4;3,33
".. Outras febre p/arbovírus e febr hemorr p/vírus";467;467;183090,71;153099,47;29991,24;392,06;392,06;1572;3,4;14;3,00
".... Dengue [dengue clásssico]";376;376;133428,99;110237,32;23191,67;354,86;354,86;1221;3,2;2;0,53
".... Febre hemorrágica devida ao vírus da dengue";25;25;28861,64;25080,51;3781,13;1154,47;1154,47;96;3,8;6;24,00
".... Restante outr febr arbovírus febr hemor vírus";66;66;20800,08;17781,64;3018,44;315,15;315,15;255;3,9;6;9,09
".. Infecções pelo vírus do herpes";78;78;48072,27;39853,68;8218,59;616,31;616,31;408;5,2;1;1,28
".. Varicela e herpes zoster";207;207;242027,80;213310,79;28605,17;1169,22;1169,22;1376;6,6;15;7,25
".. Sarampo";2;2;556,38;480,07;76,31;278,19;278,19;10;5,0;-;-
".. Rubéola";1;1;194,48;155,26;39,22;194,48;194,48;9;9,0;-;-
".. Hepatite aguda B";74;74;141393,84;127857,81;13536,03;1910,73;1910,73;623;8,4;11;14,86
".. Outras hepatites virais";172;172;96200,38;85180,76;11019,62;559,30;559,30;1224;7,1;17;9,88
".. Doença pelo vírus da imunodefic humana [HIV]";1437;1453;2733087,49;2415981,00;317106,49;1881,00;1901,94;22118;15,4;199;13,85
".. Caxumba [parotidite epidêmica]";12;12;2497,26;2127,02;370,24;208,10;208,10;43;3,6;-;-
".. Outras doenças virais";45242;45246;233483680,70;198513696,00;34969252,24;5160,32;5160,77;384163;8,5;8548;18,89
".... Meningite viral";106;106;121763,35;110614,99;11148,36;1148,71;1148,71;884;8,3;7;6,60
".... Restante de outras doenças virais";45136;45140;233361917,35;198403081,01;34958103,88;5169,74;5170,19;383279;8,5;8541;18,92
".. Micoses";168;168;238300,33;209596,36;28703,97;1418,45;1418,45;1576;9,4;13;7,74
".. Malária";104;104;32885,70;28347,12;4538,58;316,21;316,21;462;4,4;1;0,96
".... Malária por Plasmodium falciparum";16;16;4372,64;3698,68;673,96;273,29;273,29;68;4,3;1;6,25
".... Malária por Plasmodium vivax";67;67;23328,76;20306,98;3021,78;348,19;348,19;323;4,8;-;-
".... Malária por Plasmodium malariae";2;2;273,43;220,15;53,28;136,72;136,72;4;2,0;-;-
".... Outras formas malária conf exames parasitológ";1;1;439,53;381,65;57,88;439,53;439,53;12;12,0;-;-
".... Malária não especificada";18;18;4471,34;3739,66;731,68;248,41;248,41;55;3,1;-;-
".. Leishmaniose";167;167;96627,39;85553,35;11074,04;578,61;578,61;1983;11,9;10;5,99
".... Leishmaniose visceral";106;106;73191,79;65448,72;7743,07;690,49;690,49;1324;12,5;6;5,66
".... Leishmaniose cutânea";27;27;10208,44;8744,92;1463,52;378,09;378,09;314;11,6;2;7,41
".... Leishmaniose cutâneo-mucosa";5;5;2091,47;1817,90;273,57;418,29;418,29;71;14,2;-;-
".... Leishmaniose não especificada";29;29;11135,69;9541,81;1593,88;383,99;383,99;274;9,4;2;6,90
".. Tripanossomíase";28;28;59611,54;51230,17;8157,69;2128,98;2128,98;225;8,0;6;21,43
".. Esquistossomose";5;5;4017,83;3457,58;560,25;803,57;803,57;86;17,2;-;-
