 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresValor serviços profissionaisValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Lista Morb  CID-10
Caráter atendimento: Urgência
Período:Jan/2020
"Lista Morb  CID-10";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Valor_serviços_profissionais";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"01 Algumas doenças infecciosas e parasitárias";64682;64881;94600045,60;83694059,09;10905122,87;1458,05;1462,54;458690;7,1;8146;12,59
".. Cólera";58;58;44729,36;38022,60;6706,76;771,20;771,20;239;4,1;1;1,72
".. Febres tifóide e paratifóide";19;19;13155,66;10770,78;2384,88;692,40;692,40;76;4,0;-;-
".. Shiguelose";14;14;13132,89;11317,74;1815,15;938,06;938,06;45;3,2;-;-
".. Amebíase";73;73;33217,62;29646,33;3571,29;455,04;455,04;281;3,8;1;1,37
".. Diarréia e gastroenterite origem infecc presum";10489;10489;3934707,40;3480912,45;453734,90;375,13;375,13;32155;3,1;111;1,06
".. Outras doenças infecciosas intestinais";7994;7994;3182345,73;2820882,07;361463,66;398,09;398,09;23655;3,0;56;0,70
".. Tuberculose respiratória";1055;1192;1605069,16;1250291,21;354777,95;1346,53;1521,39;15046;14,3;96;9,10
".... Tuberculose pulmonar";773;910;1190654,55;920096,22;270558,33;1308,41;1540,30;12179;15,8;61;7,89
".... Outras tuberculoses respiratórias";264;264;404793,81;322504,90;82288,91;1533,31;1533,31;2711;10,3;35;13,26
".... Restante de tuberculose respiratória";18;18;9620,80;7690,09;1930,71;534,49;534,49;156;8,7;-;-
".. Outras tuberculoses";103;105;173070,15;141428,72;31641,43;1648,29;1680,29;1458;14,2;8;7,77
".... Tuberculose do sistema nervoso";20;22;44985,75;37086,75;7899,00;2044,81;2249,29;407;20,4;2;10,00
".... Tuberc intest peritônio glângl mesentéricos";3;3;8452,47;6556,12;1896,35;2817,49;2817,49;85;28,3;-;-
".... Tuberculose óssea e das articulações";5;5;8554,39;6886,40;1667,99;1710,88;1710,88;86;17,2;-;-
".... Tuberculose do aparelho geniturinário";1;1;618,17;590,23;27,94;618,17;618,17;2;2,0;-;-
".... Tuberculose miliar";43;43;78606,62;64922,75;13683,87;1828,06;1828,06;581;13,5;4;9,30
".... Restante de outras tuberculoses";31;31;31852,75;25386,47;6466,28;1027,51;1027,51;297;9,6;2;6,45
".. Peste";2;2;944,46;833,23;111,23;472,23;472,23;3;1,5;-;-
".. Brucelose";2;2;6712,29;5791,75;920,54;3356,14;3356,14;25;12,5;-;-
".. Hanseníase [lepra]";165;175;131880,08;107858,67;24021,41;753,60;799,27;1701;10,3;4;2,42
".. Outros tétanos";16;16;41396,24;36456,12;4940,12;2587,27;2587,27;168;10,5;1;6,25
".. Difteria";19;19;50064,19;44267,95;5796,24;2634,96;2634,96;129;6,8;3;15,79
".. Coqueluche";84;84;94742,20;86272,22;8469,98;1127,88;1127,88;442;5,3;-;-
".. Infecção meningocócica";69;69;222819,08;199158,15;23660,93;3229,26;3229,26;688;10,0;12;17,39
".. Septicemia";12000;12000;43291226,76;38455691,32;4835061,24;3607,60;3607,60;132010;11,0;5387;44,89
".. Outras doenças bacterianas";19769;19770;31954300,29;28672426,07;3281616,88;1616,30;1616,38;156597;7,9;2014;10,19
".... Leptospirose icterohemorrágica";8;8;21232,77;18812,31;2420,46;2654,10;2654,10;67;8,4;1;12,50
".... Outras formas de leptospirose";10;10;14384,73;12730,67;1654,06;1438,47;1438,47;117;11,7;-;-
".... Leptospirose não especificada";161;161;169879,33;149282,11;20597,22;1055,15;1055,15;961;6,0;5;3,11
".... Restante de outras doenças bacterianas";19590;19591;31748803,46;28491600,98;3256945,14;1620,58;1620,66;155452;7,9;2008;10,25
".. Sífilis congênita";1475;1475;1137782,41;808174,24;329608,17;771,38;771,38;13354;9,1;4;0,27
".. Sífilis precoce";53;53;38484,33;33100,26;5384,07;726,12;726,12;476;9,0;2;3,77
".. Outras sífilis";156;156;113076,56;90739,03;22337,53;724,85;724,85;1614;10,3;3;1,92
".. Infecção gonocócica";7;7;2304,25;1927,00;377,25;329,18;329,18;29;4,1;-;-
".. Doenças por clamídias transmitidas via sexual";7;7;15841,37;14070,01;1771,36;2263,05;2263,05;75;10,7;1;14,29
".. Outras infecções com transm predominant sexual";74;74;55551,79;44684,56;10867,23;750,70;750,70;570;7,7;1;1,35
".. Febres recorrentes";120;120;47903,74;41279,84;6623,90;399,20;399,20;481;4,0;3;2,50
".. Raiva";7;7;20176,24;17751,32;2424,92;2882,32;2882,32;93;13,3;-;-
".. Encefalite viral";184;184;409361,05;367108,73;42252,32;2224,79;2224,79;2034;11,1;14;7,61
".. Febre amarela";6;6;5581,32;4842,59;738,73;930,22;930,22;49;8,2;1;16,67
".. Outras febre p/arbovírus e febr hemorr p/vírus";3509;3509;1288387,71;1064004,21;224311,45;367,17;367,17;11057;3,2;27;0,77
".... Dengue [dengue clásssico]";3119;3119;1091623,21;894835,02;196716,14;349,99;349,99;9521;3,1;15;0,48
".... Febre hemorrágica devida ao vírus da dengue";172;172;106209,78;90877,98;15331,80;617,50;617,50;699;4,1;11;6,40
